Balayage complet {b1 anchor -> meilleur b2 oppose} pour tous les b1 du pool de base (4000 candidats, t=1..100, k=+/-1..10)
N1,N2 bornes a [1,65536]. Genere le 2026-08-29 09:45:11
==============================================================================================================

--- x0 = 13.457 --- (4000 appariements b1 valides : 2000 avec sign1=+, 2000 avec sign1=-  ;  4000 avec erreur < 1e-6) ---
       err |    t1   k1  sg1 |              b1 |    t2   k2  sg2 |              b2 |      N1      N2
  2.36e-09 |    40    8    - |   -74.705652626 |    12   -4    + |    38.382206550 |    2313   29777
  2.36e-09 |    23    4    + |   -34.095927705 |    90   -4    - |    34.044901334 |    3197   53922
  2.37e-09 |     2  -10    - |    88.729483264 |    90   -3    + |    29.408140651 |     338   24029
  2.37e-09 |     5    1    + |    -7.019593802 |    98   -4    - |    34.042725804 |    4297   41993
  2.37e-09 |     1   -6    + |    56.164282420 |    12   -3    - |    25.070835435 |     896    4503
  2.37e-09 |    28    1    - |   -11.237336114 |     6   -4    + |    38.323200891 |    8925   45736
  2.37e-09 |     8   -9    + |    83.673774197 |    10   -3    - |    25.084444446 |    2668   27705
  2.38e-09 |    89    7    + |   -61.239354561 |    90   -4    - |    34.044901334 |     663   15901
  2.38e-09 |    66    8    - |   -74.722987978 |     8   -4    + |    38.350172779 |    2196   28387
  2.38e-09 |     4  -10    - |    88.628044908 |    95   -3    + |    29.409532618 |     575   40876
  2.38e-09 |    50    6    + |   -52.192169523 |    94   -4    - |    34.043778854 |    1624   35107
  2.38e-09 |    76    9    + |   -79.373106424 |    99   -4    - |    34.042472563 |     903   25967
  2.38e-09 |    72   10    - |   -92.855022824 |     3   -4    + |    38.240062994 |    2009   30875
  2.38e-09 |    44  -10    + |    92.838734926 |    10   -3    - |    25.084444446 |    4540   55229
  2.38e-09 |    74   -9    - |    79.373868726 |    98   -3    + |    29.410316182 |     510   30539
  2.38e-09 |    11    8    + |   -70.400777855 |    97   -4    - |    34.042982950 |     667   17608
  2.39e-09 |    35   10    + |   -88.464715050 |    92   -4    - |    34.044330945 |     988   30753
  2.39e-09 |    80   -8    + |    74.728576348 |    11   -3    - |    25.077176436 |    5747   49619
